保單號,人員代號1,公司代號1,公司代號2,人員代號2
0291D000073,070220,02,02,100056
0091D001746,X00224,00,00,939756
0291D000890,070149,02,02,005576
0591D000174,X00457,05,05,981540
0091D003813,X01007,00,00,939756
0091D002046,X00224,00,00,049008
0591D000434,X00457,05,05,039268
0091D000321,X00224,00,00,049008
0291D000131,070149,02,02,939756
0091D000217,X00224,00,00,049008
0091D003257,X00224,00,00,939756
0091D002035,X00224,00,00,049008
0091D000351,X00224,00,00,049008
0691D000254,009105,06,06,049010
0091D000480,X00224,00,00,049008
0091D000747,X00224,00,00,939756
0091D003116,X00224,00,00,049008
0291D000508,070149,02,02,939756
0091D004176,X01007,00,00,049010
0091D002083,X00224,00,00,049008
0291D000632,070149,02,02,939756
0091D003676,X00224,00,00,939756
0291D000149,070149,02,02,939756
0191D000014,060925,01,01,049008
0291D001001,070149,02,02,939756
0091D003350,X00224,00,00,939756
0091D002064,X00224,00,00,049008
0091D003437,X00221,00,00,939756
0191D000378,060925,01,01,049008
0091D003877,X01007,00,00,049010
0091D000547,X00224,00,00,939756
0091D002339,X00224,00,00,049008
0591D000107,X00457,05,05,005592
0091D003326,X01007,00,00,039268
0091D002210,X00224,00,00,049008
0091D003256,X00224,00,00,939756
0091D003876,X01007,00,00,049010
0091D003873,X01007,00,00,049010
0291D001008,070149,02,02,939756
0091D001705,X00224,00,00,939756
0391D000088,050326,03,03,049008
0691D000168,009105,06,06,049010
0091D001514,X00224,00,00,939756
0091D001589,X00224,00,00,939756
0091D001454,X00224,00,00,939756
0091D000303,X00224,00,00,049008
0291D000997,070149,02,02,939756
0291D000851,070149,02,02,939756
0591D000363,X00457,05,05,039268
0191D000180,060925,01,01,061051
0091D001656,X00224,00,00,939756
0091D001623,X00224,00,00,939756
0091D003258,X00224,00,00,939756
0591D000448,X00457,05,05,981540
0091D004002,X01007,00,00,010073
0091D003031,X00224,00,00,049008
0091D001799,X00224,00,00,049008
0091D003603,X00224,00,00,939756
0091D003604,X00224,00,00,939756
0091D002733,X00224,00,00,939756
0091D001489,X00224,00,00,939756
0191D000287,060925,01,01,049008
0091D000118,X00224,00,00,049008
0091D001405,X00224,00,00,939756
0091D000844,X00224,00,00,939756
0091D000119,X00224,00,00,049008
0091D002389,X00224,00,00,049008
0591D000247,X00457,05,05,039268
0891D000013,070629,08,08,070629
0091D001195,X00224,00,00,939756
0291D000920,070149,02,02,939756
0091D001622,X00224,00,00,939756
0091D000895,X00224,00,00,939756
0891D000024,070629,08,08,004570
0091D000534,X00224,00,00,939756
0091D001326,X00224,00,00,939756
0091D001597,X00224,00,00,939756
0691D000272,007544,06,06,009245
0091D000104,X00224,00,00,049008
0091D000329,X00224,00,00,049008
0091D004103,X01007,00,00,039268
0091D002185,X00224,00,00,049008
0091D001253,X00224,00,00,939756
0291D000180,070149,02,02,939756
0091D001448,X00224,00,00,939756
0191D000402,060925,01,01,060283
0091D003809,X01007,00,00,939756
0091D001616,X00224,00,00,939756
0091D001889,X00224,00,00,049008
0091D002850,X00224,00,00,049008
0691D000210,009105,06,06,049010
0291D000865,070149,02,02,005576
0591D000057,X00457,05,05,981540
0691D000243,009105,06,06,049010
0091D000701,X00224,00,00,939756
0291D000536,070149,02,02,070921
0291D000774,070149,02,02,939756
0291D000268,070149,02,02,939756
0091D001659,X00224,00,00,939756
0291D000102,070220,02,02,070921
0091D002254,X00224,00,00,049008
0391D000118,050326,03,03,049008
0091D000511,X00224,00,00,939756
0691D000357,007544,06,06,007935
0091D001265,X00224,00,00,939756
0091D004336,X01007,00,00,049008
0091D001058,X00224,00,00,939756
0191D000014,060925,01,01,049008
0591D000262,X00457,05,05,981540
0091D000153,X00224,00,00,049008
0391D000007,050326,03,03,049008
0091D000097,X00224,00,00,049008
0291D000225,070149,02,02,939756
0091D003272,X00224,00,00,039268
0091D000169,X00224,00,00,049008
0091D003517,X00224,00,00,939756
0091D002308,X00224,00,00,049008
0091D001511,X00224,00,00,939756
0591D000407,X00457,05,05,039268
0091D001613,X00224,00,00,939756
0091D001671,X00224,00,00,939756
0191D000456,060925,01,01,060739
0091D003168,X00224,00,00,039268
0091D001178,X00224,00,00,939756
0691D000007,007544,06,06,049010
0291D000822,070149,02,02,939756
0091D002087,X00224,00,00,049008
0691D000194,009105,06,06,006572
0091D003841,X01007,00,00,049010
0091D001438,X00224,00,00,939756
0591D000082,X00457,05,05,004570
0091D003078,X00224,00,00,049008
0191D000307,060925,01,01,049008
0291D000441,070149,02,02,939756
0091D000022,X00224,00,00,049008
0091D000330,X00224,00,00,049008
0291D000341,070149,02,02,100111
0091D001512,X00224,00,00,939756
0091D001590,X00224,00,00,939756
0091D004345,X01007,00,00,049008
0091D003420,X01007,00,00,039268
0091D000000,X00224,00,00,049008
0291D000181,070149,02,02,939756
0091D001657,X00224,00,00,939756
0591D000427,X00457,05,05,039268
0691D000364,007544,06,06,039365
0091D003627,X01007,00,00,049010
0091D003682,X00224,00,00,939756
0191D000505,060925,01,01,049008
0091D000137,X00224,00,00,049008
0091D000298,002241,00,00,049008
0091D000269,X00224,00,00,039268
0091D001047,X00224,00,00,939756
0091D003631,X00224,00,00,939756
0091D001646,X00224,00,00,939756
0291D000713,070149,02,02,939756
0091D002789,X00224,00,00,049008
0091D000103,X00224,00,00,049008
0591D000243,X00457,05,05,039268
0291D000562,070149,02,02,939756
0291D000971,070149,02,02,939756
0091D000559,X00224,00,00,939756
0591D000325,X00457,05,05,039268
0091D002818,X00224,00,00,049008
0091D000769,X00224,00,00,939756
0091D001843,X00224,00,00,049008
0091D001688,X00224,00,00,939756
0091D003743,X01007,00,00,049008
0191D000251,060925,01,01,060364
0091D002134,X00224,00,00,049008
0091D003807,X01007,00,00,939756
0091D000633,002241,00,00,939756
0191D000017,060925,01,01,049008
0091D003793,X01007,00,00,939756
0091D003291,X01007,00,00,039268
0091D003722,X01007,00,00,049008
0091D004078,X01007,00,00,049010
0691D000106,007544,06,06,049010
0091D003897,X01007,00,00,049010
0091D001936,X00224,00,00,049008
0091D001683,X00224,00,00,939756
0391D000099,050326,03,03,049008
0091D003088,X00224,00,00,049008
0091D001520,X00224,00,00,939756
0091D001546,X00224,00,00,939756
0691D000134,009105,06,06,049010
0191D000485,060925,01,01,060577
0191D000461,060925,01,01,096172
0091D003476,X01007,00,00,039268
0091D002135,X00224,00,00,049008
0091D000297,X00224,00,00,049008
0291D000478,070149,02,02,939756
0091D000951,X00224,00,00,939756
0291D000424,070149,02,02,939756
0191D000263,060925,01,01,005339
0091D002957,X00224,00,00,049008
0091D003573,X01007,00,00,049008
0091D002139,X00224,00,00,049008
0091D001182,X00224,00,00,939756
0091D000142,X00224,00,00,049008
0091D001477,X00224,00,00,939756
0291D001021,070149,02,02,005576
0091D002819,X00224,00,00,049008
0291D000583,070149,02,02,939756
0291D000486,070149,02,02,939756
0091D003195,X01007,00,00,039268
0091D000556,X00224,00,00,939756
0291D000142,070149,02,02,939756
0591D000105,X00457,05,05,005592
0691D000362,007544,06,06,039357
0091D003470,X01007,00,00,039268
0091D000183,X00224,00,00,049008
0591D000356,X00457,05,05,039268
0091D001320,X00224,00,00,939756
0191D000113,060925,01,01,049008
0091D001005,X00224,00,00,049008
0291D000581,070149,02,02,939756
0091D002276,X00224,00,00,049008
0091D002848,X00224,00,00,049008
0191D000419,060925,01,01,049008
0691D000140,009105,06,06,049010
0091D002176,X00224,00,00,049008
0091D000551,X00224,00,00,939756
0291D000552,070149,02,02,939756
0091D003870,X01007,00,00,049010
0091D000595,X00224,00,00,939756
0191D000368,060925,01,01,060283
0291D000894,070149,02,02,071170
0091D000320,X00224,00,00,049008
0291D000648,070149,02,02,939756
0091D002956,X00224,00,00,049008
0091D000051,X00224,00,00,049008
0091D001956,X00224,00,00,039268
0091D003479,X01007,00,00,039268
0091D000648,X00224,00,00,939756
0091D003108,X00224,00,00,049008
0191D000388,060925,01,01,049008
0191D000176,060925,01,01,094072
0691D000313,009105,06,06,008036
0091D001681,X00224,00,00,939756
0191D000272,060925,01,01,049008
0191D000025,060925,01,01,049008
0091D000434,X00224,00,00,049008
0091D000320,X00224,00,00,049008
0091D003266,X00224,00,00,039268
0091D003900,X01007,00,00,049010
0391D000049,050326,03,03,049008
0291D000579,070149,02,02,939756
0091D001474,X00224,00,00,939756
0091D003960,X01007,00,00,039268
0191D000331,060925,01,01,049008
0091D004255,X01007,00,00,039268
0091D000961,X00224,00,00,939756
0391D000031,050326,03,03,049008
0691D000282,009105,06,06,005134
0591D000071,X00457,05,05,981540
0091D002381,X00224,00,00,049008
0091D001800,X00224,00,00,049008
0291D000078,070220,02,02,070220
0291D000347,070149,02,02,939756
0091D000111,X00224,00,00,049008
0091D001225,X00224,00,00,939756
0291D000079,070220,02,02,070220
0091D000763,X00224,00,00,939756
0891D000039,070629,08,08,070629
0191D000023,060925,01,01,049008
0591D000392,X00457,05,05,039268
0191D000321,060925,01,01,049008
0091D000214,X00224,00,00,049008
0591D000066,X00457,05,05,981540
0091D001523,X00224,00,00,939756
0091D000675,X00224,00,00,939756
0291D000828,070149,02,02,939756
0091D002998,X00224,00,00,049008
0091D000704,X00224,00,00,939756
0291D000422,070149,02,02,939756
0091D000215,X00224,00,00,049008
0291D000236,070149,02,02,005576
0091D001663,X00224,00,00,939756
0091D000093,X00224,00,00,049008
0591D000404,X00457,05,05,039268
0291D001029,070149,02,02,939756
0091D000190,X00224,00,00,049008
0091D002081,X00224,00,00,049008
0891D000069,070629,08,08,070629
0291D000580,070149,02,02,939756
0291D000710,070149,02,02,939756
0091D003224,X01007,00,00,104124
0091D001955,X00224,00,00,039268
0291D000591,070149,02,02,939756
0091D002742,X00224,00,00,049008
0091D004005,X01007,00,00,039268
0591D000360,X00457,05,05,039268
0091D003321,X00224,00,00,939756
0291D001000,070149,02,02,939756
0091D000017,X00224,00,00,049008
0291D000356,070149,02,02,939756
0091D001350,X00224,00,00,939756
0291D000171,070149,02,02,939756
0091D002218,X00224,00,00,049008
0291D000593,070149,02,02,939756
0091D004080,X01007,00,00,049010
0691D000139,009105,06,06,049010
0291D000403,070149,02,02,939756
0091D002204,X00224,00,00,049008
0291D000267,070149,02,02,939756
0091D000186,X00224,00,00,049008
0691D000246,009105,06,06,049010
0091D001629,X00224,00,00,939756
0291D000728,070149,02,02,939756
0291D000834,070149,02,02,939756
0291D000162,070149,02,02,939756
0091D001601,X00224,00,00,939756
0291D000321,070149,02,02,939756
0091D000046,X00224,00,00,049008
0091D003226,X00224,00,00,939756
0291D000181,070149,02,02,939756
0091D001314,X00224,00,00,939756
0091D002059,X00224,00,00,049008
0091D003621,X00224,00,00,939756
0091D002673,X00224,00,00,939756
0091D003369,X01007,00,00,039268
0091D001297,X00224,00,00,939756
0091D001244,X00224,00,00,939756
0091D001947,X00224,00,00,039268
0091D003707,X00224,00,00,939756
0091D001835,X00224,00,00,049008
0091D001395,X00224,00,00,939756
0291D000910,070149,02,02,939756
0091D000721,X00224,00,00,939756
0191D000241,060925,01,01,049008
0091D001614,X00224,00,00,939756
0091D002230,X00224,00,00,049008
0091D000592,X00224,00,00,939756
0291D000261,070149,02,02,939756
0191D000021,060925,01,01,049008
0091D001916,X00224,00,00,049008
0591D000007,004570,05,05,981540
0091D004161,X01007,00,00,049010
0091D003849,X01007,00,00,049008
0091D000600,X00224,00,00,939756
0091D002219,X00224,00,00,049008
0291D000925,070149,02,02,100111
0091D004332,X01007,00,00,049008
0091D003376,X01007,00,00,039268
0591D000085,X00457,05,05,005592
0591D000095,X00457,05,05,005592
0091D000584,X00224,00,00,939756
0091D003427,X00224,00,00,939756
0091D002696,X00224,00,00,049008
0591D000410,X00457,05,05,039268
0091D003613,X00224,00,00,939756
0191D000240,060925,01,01,049008
0191D000438,060925,01,01,094072
0291D000898,070149,02,02,070220
0091D001617,X00224,00,00,939756
0091D004218,X01007,00,00,049010
0291D000925,070149,02,02,100111
0691D000341,009571,06,06,039365
0191D000216,060925,01,01,049008
0291D000129,070149,02,02,939756
0291D000346,070149,02,02,100111
0091D003813,X01007,00,00,939756
0291D000076,070220,02,02,100111
0091D000981,X00224,00,00,939756
0091D003714,X00224,00,00,939756
0291D000386,070149,02,02,939756
0691D000097,008907,06,06,049010
0291D000689,070149,02,02,939756
0291D000829,070149,02,02,939756
0091D003641,X01007,00,00,939756
0091D001645,X00224,00,00,939756
0091D000399,X00224,00,00,049008
0091D002981,X00224,00,00,049008
0091D002938,X00224,00,00,049008
0091D002704,X00224,00,00,939756
0091D001012,X00224,00,00,049008
0091D002144,X00224,00,00,049008
0091D003016,X00224,00,00,049008
0091D004072,X01007,00,00,049010
0091D002490,X00224,00,00,939756
0291D000104,070220,02,02,070921
0191D000346,060925,01,01,049008
0091D002195,X00224,00,00,049008
0091D003102,X00224,00,00,049008
0091D000990,X00224,00,00,939756
0091D003565,X01007,00,00,049010
0391D000069,050326,03,03,049008
0091D003739,X01007,00,00,049008
0091D002817,X00224,00,00,049008
0291D000235,070149,02,02,939756
0091D002992,X00224,00,00,049008
0591D000307,X00457,05,05,981540
0091D001859,X00224,00,00,049008
0091D000279,X00224,00,00,049008
0591D000029,004570,05,05,981540
0591D000408,X00457,05,05,039268
0591D000288,X00457,05,05,039268
0091D001319,X00224,00,00,939756
0091D002198,X00224,00,00,049008
0091D000162,X00224,00,00,049008
0091D000128,X00224,00,00,049008
0591D000410,X00457,05,05,039268
0091D004133,X01007,00,00,005592
0591D000174,X00457,05,05,981540
0091D003107,X00224,00,00,049008
0091D000414,X00224,00,00,049008
0191D000270,060925,01,01,049008
0091D003234,X01007,00,00,049008
0291D000551,070149,02,02,939756
0091D001426,X00224,00,00,939756
0191D000030,060925,01,01,063037
0091D003007,X00224,00,00,049008
0691D000142,007544,06,06,002712
0291D000227,070149,02,02,939756
0091D001508,X00224,00,00,939756
0091D001465,X00224,00,00,939756
0091D000192,X00224,00,00,049008
0091D000630,X00224,00,00,939756
0091D003751,X01007,00,00,049008
0091D003692,X00224,00,00,939756
0091D004145,X01007,00,00,049010
0191D000455,060925,01,01,060739
0091D002859,X00224,00,00,049008
0091D002622,X00224,00,00,007811
0691D000367,007544,06,06,039365
0091D000433,X00224,00,00,049008
0591D000195,X00457,05,05,981540
0091D002803,X00224,00,00,049008
0091D003094,X00224,00,00,049008
0891D000080,070629,08,08,070629
0091D000368,X00224,00,00,049008
0191D000194,060925,01,01,005339
0191D000485,060925,01,01,060577
0191D000459,060925,01,01,096172
0091D003769,X01007,00,00,939756
0091D001823,X00224,00,00,049008
0191D000272,060925,01,01,049008
0091D002042,X00224,00,00,049008
0091D000856,X00224,00,00,049008
0091D001374,X00224,00,00,939756
0291D000787,070149,02,02,939756
0191D000064,060925,01,01,049008
0191D000061,060925,01,01,049008
0091D001955,X00224,00,00,039268
0091D002664,X00224,00,00,939756
0091D000494,X00224,00,00,939756
0091D003347,X00224,00,00,939756
0291D000516,070149,02,02,939756
0091D002212,X00224,00,00,049008
0091D003915,X01007,00,00,039268
0091D002941,X00224,00,00,049008
0091D000921,X00224,00,00,939756
0091D000310,X00224,00,00,049008
0091D003481,X01007,00,00,049010
0091D002796,X00224,00,00,002895
0091D003282,X01007,00,00,049008
0691D000335,009571,06,06,008036
0191D000352,060925,01,01,061051
0291D000471,070149,02,02,939756
0191D000302,060925,01,01,049008
0091D001126,X00224,00,00,939756
0291D000121,070149,02,02,100111
0091D000251,X00224,00,00,049008
0091D003829,X01007,00,00,049008
0291D000587,070149,02,02,939756
0091D001828,X00224,00,00,049008
0091D003914,X01007,00,00,939756
0091D000534,X00224,00,00,939756
0091D001875,X00224,00,00,049008
0091D003810,X01007,00,00,939756
0591D000043,X00457,05,05,981540
0091D002420,X00224,00,00,049008
0091D001930,X00224,00,00,049008
0091D002126,X00224,00,00,049008
0091D001389,X00224,00,00,939756
0091D003952,X01007,00,00,039268
0091D003797,X01007,00,00,939756
0091D002060,X00224,00,00,049008
0591D000261,X00457,05,05,981540
0191D000322,060925,01,01,049008
0091D002131,X00224,00,00,049008
0091D003064,X00224,00,00,049008
0091D001504,X00224,00,00,939756
0091D003912,X01007,00,00,939756
0191D000150,060925,01,01,049008
0091D003854,X01007,00,00,049008
0091D000914,X00224,00,00,939756
0091D001974,X00224,00,00,049008
0291D000716,070149,02,02,939756
0091D000515,X00224,00,00,939756
0091D004016,X01007,00,00,039268
0091D001392,X00224,00,00,939756
0091D003607,X00224,00,00,939756
0091D003377,X01007,00,00,039268
0591D000369,X00457,05,05,039268
0291D000186,070149,02,02,100111
0091D002489,X00224,00,00,939756
0591D000341,X00457,05,05,039268
0091D002494,X00224,00,00,939756
0091D000697,X00224,00,00,939756
0591D000452,X00457,05,05,981540
0291D000995,070149,02,02,005576
0091D001467,X00224,00,00,939756
0291D000471,070149,02,02,939756
0091D003792,X01007,00,00,939756
0091D002483,X00224,00,00,939756
0691D000180,009105,06,06,049010
0391D000015,050326,03,03,049008
0291D000717,070149,02,02,939756
0091D004240,X01007,00,00,049010
0091D003406,X01007,00,00,039268
0091D001338,X00224,00,00,939756
0591D000291,X00457,05,05,039268
0191D000020,060925,01,01,049008
0391D000040,050326,03,03,049008
0091D001803,X00224,00,00,049008
0091D002269,X00224,00,00,049008
0191D000595,060925,01,01,096172
0191D000064,060925,01,01,049008
0191D000101,060925,01,01,049008
0091D003957,X01007,00,00,039268
0091D001539,X00224,00,00,939756
0091D003234,X01007,00,00,049008
0191D000301,060925,01,01,049008
0091D003596,X00224,00,00,939756
0091D001696,X00224,00,00,939756
0291D000770,070149,02,02,060470
0091D000946,X00224,00,00,939756
0091D003052,X00224,00,00,049008
0091D001296,X00224,00,00,939756
0291D000198,070149,02,02,939756
0291D001019,070149,02,02,939756
0191D000265,060925,01,01,060283
0091D003063,X00224,00,00,049008
0591D000218,X00457,05,05,981540
0091D002443,X00224,00,00,049008
0091D000821,X00224,00,00,939756
0091D004355,X01007,00,00,049008
0091D003903,X01007,00,00,049010
0091D000349,X00224,00,00,049008
0591D000089,X00457,05,05,005592
0091D001266,X00224,00,00,939756
0091D001709,X00224,00,00,939756
0591D000016,004570,05,05,981540
0291D000110,070220,02,02,070921
0191D000352,060925,01,01,061051
0091D001494,X00224,00,00,939756
0091D003634,X00224,00,00,939756
0091D000434,X00224,00,00,049008
0091D001978,X00224,00,00,049008
0091D002341,X00224,00,00,049008
0591D000082,X00457,05,05,004570
0091D002817,X00224,00,00,049008
0091D002640,X00224,00,00,104132
0091D003120,X00224,00,00,049008
0091D001792,X00224,00,00,049008
0091D004115,X01007,00,00,049010
0091D002807,X00224,00,00,049008
0691D000290,009105,06,06,005134
0091D001137,X00224,00,00,939756
0091D001961,X00224,00,00,039268
0091D001391,X00224,00,00,939756
0091D003452,X00224,00,00,939756
0391D000009,050326,03,03,049008
0091D001241,X00224,00,00,939756
0291D000835,070149,02,02,939756
0191D000509,060925,01,01,060593
0091D000051,X00224,00,00,049008
0291D000295,070149,02,02,939756
0091D002059,X00224,00,00,049008
0291D000209,070149,02,02,939756
0591D000301,X00457,05,05,981540
0091D004047,X01007,00,00,049010
0291D000014,070220,02,02,100200
0091D002313,X00224,00,00,049008
0091D002174,X00224,00,00,049008
0191D000601,060925,01,01,060925
0091D000021,X00224,00,00,049008
0291D000177,070149,02,02,939756
0091D001107,X00224,00,00,939756
0591D000251,X00457,05,05,039268
0091D001779,X00224,00,00,939756
0191D000473,060925,01,01,060283
0091D000434,X00224,00,00,049008
0091D000529,X00224,00,00,939756
0091D003370,X00224,00,00,939756
0091D002080,X00224,00,00,049008
0191D000462,060925,01,01,096172
0091D003177,X00224,00,00,039268
0091D002655,X00224,00,00,049008
0591D000286,X00457,05,05,981540
0191D000501,060925,01,01,049008
0291D000898,070149,02,02,070220
0091D001963,X00224,00,00,039268
0091D004163,X01007,00,00,049010
0091D003010,X00224,00,00,049008
0591D000072,X00457,05,05,981540
0091D001552,X00224,00,00,939756
0591D000334,X00457,05,05,039268
0291D000593,070149,02,02,939756
0391D000053,050326,03,03,049008
0091D000356,X00224,00,00,049008
0091D001104,X00224,00,00,939756
0091D001484,X00224,00,00,939756
0091D000559,X00224,00,00,939756
0091D001618,X00224,00,00,939756
0091D002440,X00224,00,00,049008
0091D003133,X00224,00,00,049008
0591D000265,X00457,05,05,981540
0191D000039,060925,01,01,063037
0891D000070,070629,08,08,070629
0591D000221,X00457,05,05,981540
0091D002672,X00224,00,00,939756
0691D000164,009105,06,06,049010
0091D002451,X00224,00,00,049008
0191D000270,060925,01,01,049008
0191D000581,060925,01,01,060283
0091D001349,X00224,00,00,939756
0091D002504,X00224,00,00,939756
0091D002394,X00224,00,00,049008
0391D000020,050326,03,03,049008
0091D003487,X01007,00,00,039268
0091D004083,X00224,00,00,939756
0091D001549,X00224,00,00,939756
0091D003306,X01007,00,00,039268
0091D002334,X00224,00,00,049008
0091D002329,X00224,00,00,049008
0291D000170,070149,02,02,939756
0091D004010,X01007,00,00,039268
0591D000211,X00457,05,05,981540
0091D003014,X00224,00,00,049008
0191D000233,060925,01,01,049008
0091D001738,X00224,00,00,939756
0091D001970,X00224,00,00,049008
0091D003610,X00224,00,00,939756
0091D001546,X00224,00,00,939756
0591D000250,X00457,05,05,039268
0091D001318,X00224,00,00,939756
0091D004161,X01007,00,00,049010
0291D000318,070149,02,02,939756
0091D003629,X00224,00,00,939756
0091D003302,X01007,00,00,039268
0091D002981,X00224,00,00,049008
0191D000365,060925,01,01,060283
0091D002285,X00224,00,00,049008
